Role,Companies,Location,Experience,Skills,Company Size,Eligibility Criteria,Enrollment Type,Salary,Min Salary,Max Salary,Min Experience
Senior Decision Scientist,Analytics Vidhya Educon Pvt. Ltd,Bengaluru,2-7 Yrs,Logistic regression\nData analysis\nOperations research\ndata science\nRisk analytics\nHTML\nRisk management\nMATLAB,1500,UG/PG,Full Time,600000-1700000,600000,1700000,2
Data Scientist,Analytos,India,2-4 Yrs,Text mining\ndeep learning\nNoSQL\nRF\ndata science\nData research\nData modeling\nManager Technology,1000,UG/PG,Full Time,600000-1200000,600000,1200000,2
Data Scientist,Anantara Solutions Private Limited,Chennai,0-1 Yrs,SAN\nFrench\ndata science\nData modeling\nAnalytical\nCook\nManager Technology\nSQL,200,UG,Full Time,500000-1600000,500000,1600000,0
Data Scientist,Ancla Consultancy Services India Pvt Ltd,Hyderabad,6-12 Yrs,Location: Hyderabad\nData Scientist\nExperience: 6-12 yrs,500,Phd,Full Time,NA,#VALUE!,#VALUE!,6
Data Scientist,Angel & Genie,Bengaluru,5-10 Yrs,Data analysis\nGIT\nAnalytical\nMachine learning\nBusiness intelligence\nAnalytics\nFinancial services\nSQL,200,PG/Phd,Full Time,1200000-1700000,1200000,1700000,5
Data Scientist,Angel Broking Limited,Mumbai,3-8 Yrs,data science\nR Programming\nMachine learning\nProgramming\nData quality\ndata visualization\nbig data\nStatistics,500,PG/Phd,Full Time,500000-1200000,500000,1200000,3
Data Scientist,Anicalls,Bengaluru,5 - 9 years,Tableau\nDataScience\nDataVisualization\nPython,500,Any Graduate,"Full Time, Permanent",600000-1100000,600000,1100000,5
Machine Learning Engineer,Animaker,Bengaluru,3-5 Yrs,R\nNLP\nOpen Source\nImage Processing\nTime Series Forecasting\nImage Recognition\nData Visualization\nNLU / NLG,200,PG,Full Time,1300000-1700000,1300000,1700000,3
Data Scientist,Ank Aha Private Limited,Delhi,2-7 Yrs,Graphics\nPolicies\nAlgorithms\nMySQL\nMachine learning\nHypothesis Testing\nSPSS\nEconometrics,50,UG/PG,Full Time,600000-1500000,600000,1500000,2
Data Scientist,Anlage Infotech (I) Pvt. Ltd.,Pune,10-16 Yrs,Data Science\nAI/ML\nPython\nAlgorithm Development\nLogistic Regression\nArtificial Intelligence\nNatural Language Processing\nBig Data,500,PG/Phd,Full Time,1800000-2700000,1800000,2700000,10
Data Scientist,Anlage Infotech (I) Pvt. Ltd.,Bengaluru,7-12 Yrs,natural language processing\ndata science libraries\nDeep learning libraries\nXdata\ndata mining\nJupyter notebook\nmachine learning\nClustering,500,Phd,Full Time,800000-1600000,800000,1600000,7
Machine Learning Engineer,Annire,"Mumbai,Bengaluru",2-7 Yrs,MlAlgorithims\nPython\nStatistics,2000,UG/PG,Full Time,1500000-1800000,1500000,1800000,2
Machine Learning Engineer,Annire,"Mumbai,Bengaluru",5-7 Yrs,MachineLearning\nPython\nAlgorithms,NA,UG/PG,Full Time,1500000-1800000,1500000,1800000,5
Machine Learning Engineer,APHTHARTOS Technologies Pvt Ltd,Gurgaon,2 - 7 years,MachineLearnings\nPython,NA,Any Graduate,"Full Time, Permanent",100000-500000,100000,500000,2
Data Analyst,AutoCAD,"Hyderabad, Pune, Chennai, Delhi, Bengaluru",5-9 Yrs,Python\nMachineLearning\nDataAnalysis\nBusinessAnalysis\nDataManagement\nBusinessInsights,11500,UG,Full Time,700000-1700000,700000,1700000,5
Data Scientist,AVE-Promagne,Noida,3 - 8 years,DataAnalysis\nDataScience\nPredictiveAnalytics\nDataVisualization\nMachineLearning\nML,10,Any Graduate,"Full Time, Permanent",1200000-1600000,1200000,1600000,3
Data Scientist,Axis Placement Consulting,Bengaluru,8 - 13 years,ArtificialIntelligence\nNaturalLanguageProcessing\nMachineLearning,NA,B.Tech/B.E. in Any Specialization,"Full Time, Permanent",450000-950000,450000,950000,8
Python Developer,Azine Technologies,Ahmedabad,4-9 Yrs,Python\nMachineLearning\nDjango\nDeepLearning\nImageProcessing\nComputerVision,200,UG/PG,Full Time,550000-850000,550000,850000,4
Data Scientist,Barrla systems,Chennai,3-5 Yrs,SciPy\nPython\nTenserFlow\nNLP\nDeepLearning,500,UG/PG,Full Time,NA,#VALUE!,#VALUE!,3
Machine Learning Engineer,Bhawan cyber Tech,Chennai,2-7 Yrs,PredictiveModeling\nLogisticRegression\nNaturalLanguageProcessing\nAnalytics,5000,UG/PG,Full Time,600000-1600000,600000,1600000,2
AWS Engineer(AWS glue),Birlasoft,"Pune,Chennai,Bengaluru",6-11 Yrs,AWSglue\netl\nPyhon\nDatawarehouse\nBI\nMachineLearning\nS3\nAWSLambda,10050,PG/Phd,Full Time,450000-700000,450000,700000,6
Data Scientist,BlackBuck,"Gurgaon, Bengaluru",3 - 7 years,DeepLearning\nOperations\nResearchImageProcessing\nDataScience\nMachine learning,2500,Any Graduate,"Full Time, Permanent",800000-1200000,800000,1200000,3
Data Engineer,Boston Consulting Group,"Mumbai,Delhi,Chennai",8-11 Yrs,DataScience\nJava\nSoftwareDevelopment\nAlgorithms\nSoftwareEngineering,"21,000",PG/Phd,Full Time,NA,#VALUE!,#VALUE!,8
Data Scientist,Boston Consulting Group,"Mumbai,Delhi,Chennai",6-10 Yrs,ComputerScience\nAdvancedAnalytics\nSDS\nDataScience\nArtificialIntelligence,"21,000",PG/Phd,Full Time,500000-700000,500000,700000,6
Data Scientist,Boston Consulting Group,"Mumbai,Delhi,Chennai",1-2 Yrs,ComputerScience\nAnalyticalSkills\nAdvancedAnalytics\nSDS\nDataScience,"21,000",UG,Full Time,500000-900000,500000,900000,1
Machine Learning Engineer,Brane Enterprises Pvt Ltd,Hyderabad,3 - 8 years,CNNArtificial IntelligenceData StructuresAINeural NetworksDeep LearningCUDAAlgorithmsNLPAI/MLArtificial Neural NetworksAWSPython,1000,Any Graduate,"Full Time, Permanent",800000-1200000,800000,1200000,3
